"Program","Year","Period","Geo.Level","State","Strawberries","type","items","units","Domain","name","code","Value","CV....","Total"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES BEARING",NA,NA,NA,"AREA GROWN"," 0.1 TO 0.9 ACRES",NA,"963","5.6",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES BEARING",NA,NA,NA,"AREA GROWN"," 1.0 TO 4.9 ACRES",NA,"3,195","5.9",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES BEARING",NA,NA,NA,"AREA GROWN"," 100 OR MORE ACRES",NA,"46,265","25.3",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES BEARING",NA,NA,NA,"AREA GROWN"," 15.0 TO 24.9 ACRES",NA,"2,514","20.0",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES BEARING",NA,NA,NA,"AREA GROWN"," 25.0 TO 49.9 ACRES",NA,"4,231","13.0",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES BEARING",NA,NA,NA,"AREA GROWN"," 5.0 TO 14.9 ACRES",NA,"3,396","8.6",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES BEARING",NA,NA,NA,"AREA GROWN"," 50.0 TO 99.9 ACRES",NA,"10,146","50.5",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"15.4","70,709"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES GROWN",NA,NA,NA,"AREA GROWN"," 0.1 TO 0.9 ACRES",NA,"1,199","6.2",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES GROWN",NA,NA,NA,"AREA GROWN"," 1.0 TO 4.9 ACRES",NA,"3,729","5.3",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES GROWN",NA,NA,NA,"AREA GROWN"," 100 OR MORE ACRES",NA,"46,931","25.0",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES GROWN",NA,NA,NA,"AREA GROWN"," 15.0 TO 24.9 ACRES",NA,"2,758","19.1",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES GROWN",NA,NA,NA,"AREA GROWN"," 25.0 TO 49.9 ACRES",NA,"4,441","12.7",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES GROWN",NA,NA,NA,"AREA GROWN"," 5.0 TO 14.9 ACRES",NA,"3,942","7.9",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES GROWN",NA,NA,NA,"AREA GROWN"," 50.0 TO 99.9 ACRES",NA,"10,461","47.6",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"15.3","73,462"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES NON-BEARING",NA,NA,NA,"AREA GROWN"," 0.1 TO 0.9 ACRES",NA,"236","13.2",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES NON-BEARING",NA,NA,NA,"AREA GROWN"," 1.0 TO 4.9 ACRES",NA,"535","5.1",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES NON-BEARING",NA,NA,NA,"AREA GROWN"," 100 OR MORE ACRES",NA,"666","4.2",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES NON-BEARING",NA,NA,NA,"AREA GROWN"," 15.0 TO 24.9 ACRES",NA,"244","34.1",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES NON-BEARING",NA,NA,NA,"AREA GROWN"," 25.0 TO 49.9 ACRES",NA,"210","37.3",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES NON-BEARING",NA,NA,NA,"AREA GROWN"," 5.0 TO 14.9 ACRES",NA,"547","9.9",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES NON-BEARING",NA,NA,NA,"AREA GROWN"," 50.0 TO 99.9 ACRES",NA,"315","(H)",NA
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES NON-BEARING",NA,NA,NA,NA,NA,NA,NA,"15.5","2,753"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - OPERATIONS WITH AREA BEARING",NA,NA,NA,"AREA GROWN"," 0.1 TO 0.9 ACRES",NA,"4,690","6.4",NA
