"Program","Year","Period","Geo.Level","State","Strawberries","type","items","units","Domain","name","code","Value","CV....","Total"
"SURVEY",2024,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES"," FRESH MARKET - PRICE RECEIVED"," ADJUSTED BASE"," MEASURED IN $ / CWT",NA,NA,NA,NA,NA,"10.9"
"SURVEY",2024,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES"," PROCESSING - PRICE RECEIVED"," ADJUSTED BASE"," MEASURED IN $ / TON",NA,NA,NA,NA,NA,"4.04"
"SURVEY",2023,"MARKETING YEAR","NATIONAL","US TOTAL","STRAWBERRIES - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,NA,NA,NA,NA,NA,NA,"123"
"SURVEY",2023,"MARKETING YEAR","NATIONAL","US TOTAL","STRAWBERRIES"," FRESH MARKET - PRICE RECEIVED"," $ / CWT",NA,NA,NA,NA,NA,NA,"142"
"SURVEY",2023,"MARKETING YEAR","NATIONAL","US TOTAL","STRAWBERRIES"," PROCESSING - PRICE RECEIVED"," $ / CWT",NA,NA,NA,NA,NA,NA,"43.8"
"SURVEY",2023,"MARKETING YEAR","STATE","CALIFORNIA","STRAWBERRIES - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,NA,NA,NA,NA,NA,NA,"121"
"SURVEY",2023,"MARKETING YEAR","STATE","CALIFORNIA","STRAWBERRIES"," FRESH MARKET - PRICE RECEIVED"," $ / CWT",NA,NA,NA,NA,NA,NA,"(D)"
"SURVEY",2023,"MARKETING YEAR","STATE","CALIFORNIA","STRAWBERRIES"," PROCESSING - PRICE RECEIVED"," $ / CWT",NA,NA,NA,NA,NA,NA,"(D)"
"SURVEY",2023,"MARKETING YEAR","STATE","FLORIDA","STRAWBERRIES - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,NA,NA,NA,NA,NA,NA,"147"
"SURVEY",2023,"MARKETING YEAR","STATE","FLORIDA","STRAWBERRIES"," FRESH MARKET - PRICE RECEIVED"," $ / CWT",NA,NA,NA,NA,NA,NA,"(D)"
"SURVEY",2023,"MARKETING YEAR","STATE","FLORIDA","STRAWBERRIES"," PROCESSING - PRICE RECEIVED"," $ / CWT",NA,NA,NA,NA,NA,NA,"(D)"
"SURVEY",2023,"MARKETING YEAR","STATE","OTHER STATES","STRAWBERRIES"," FRESH MARKET - PRICE RECEIVED"," $ / CWT",NA,NA,NA,NA,NA,NA,"142"
"SURVEY",2023,"MARKETING YEAR","STATE","OTHER STATES","STRAWBERRIES"," PROCESSING - PRICE RECEIVED"," $ / CWT",NA,NA,NA,NA,NA,NA,"43.8"
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES HARVESTED",NA,NA,NA,NA,NA,NA,NA,NA,"56,800"
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - ACRES PLANTED",NA,NA,NA,NA,NA,NA,NA,NA,"57,300"
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - PRODUCTION"," MEASURED IN $",NA,NA,NA,NA,NA,NA,NA,"3,398,943,000"
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - PRODUCTION"," MEASURED IN CWT",NA,NA,NA,NA,NA,NA,NA,"27,560,000"
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - PRODUCTION"," MEASURED IN TONS",NA,NA,NA,NA,NA,NA,NA,"1,378,000"
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - YIELD"," MEASURED IN CWT / ACRE",NA,NA,NA,NA,NA,NA,NA,"485"
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES - YIELD"," MEASURED IN TONS / ACRE",NA,NA,NA,NA,NA,NA,NA,"24.26"
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES"," FRESH MARKET - PRICE RECEIVED"," 10 YEAR AVG FOR PARITY PURPOSES"," MEASURED IN $ / CWT",NA,NA,NA,NA,NA,"120"
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES"," FRESH MARKET - PRICE RECEIVED"," 10 YEAR AVG"," MEASURED IN $ / CWT",NA,NA,NA,NA,NA,"120"
